"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"216039";"53115";"MW00000";"NL01      ";"2022JJ00";"12"
"216043";"53115";"MW00000";"GM1680    ";"2022JJ00";"8"
"216047";"53115";"MW00000";"WK168000  ";"2022JJ00";"6.8"
"216051";"53115";"MW00000";"BU16800000";"2022JJ00";"6.9"
"216055";"53115";"MW00000";"BU16800009";"2022JJ00";"4.9"
"216059";"53115";"MW00000";"WK168001  ";"2022JJ00";"7.5"
"216063";"53115";"MW00000";"BU16800100";"2022JJ00";"7.5"
"216067";"53115";"MW00000";"BU16800109";"2022JJ00";"7.3"
"216071";"53115";"MW00000";"WK168002  ";"2022JJ00";"6.2"
"216075";"53115";"MW00000";"BU16800200";"2022JJ00";"6.3"
"216079";"53115";"MW00000";"BU16800209";"2022JJ00";"5.9"
"216083";"53115";"MW00000";"WK168003  ";"2022JJ00";"6.5"
"216087";"53115";"MW00000";"BU16800300";"2022JJ00";"6.5"
"216091";"53115";"MW00000";"BU16800309";"2022JJ00";
"216095";"53115";"MW00000";"WK168004  ";"2022JJ00";"5.4"
"216099";"53115";"MW00000";"BU16800400";"2022JJ00";"5.6"
"216103";"53115";"MW00000";"BU16800409";"2022JJ00";"3.5"
"216107";"53115";"MW00000";"WK168005  ";"2022JJ00";"6.3"
"216111";"53115";"MW00000";"BU16800500";"2022JJ00";"6.4"
"216115";"53115";"MW00000";"BU16800509";"2022JJ00";"4.7"
"216119";"53115";"MW00000";"WK168006  ";"2022JJ00";"6.6"
"216123";"53115";"MW00000";"BU16800600";"2022JJ00";"6.6"
"216127";"53115";"MW00000";"BU16800609";"2022JJ00";"5.5"
"216131";"53115";"MW00000";"WK168007  ";"2022JJ00";"7.7"
"216135";"53115";"MW00000";"BU16800700";"2022JJ00";"7.7"
"216139";"53115";"MW00000";"BU16800709";"2022JJ00";
"216143";"53115";"MW00000";"WK168008  ";"2022JJ00";"6.8"
"216147";"53115";"MW00000";"BU16800800";"2022JJ00";"7"
"216151";"53115";"MW00000";"BU16800809";"2022JJ00";
"216155";"53115";"MW00000";"WK168009  ";"2022JJ00";"5.7"
"216159";"53115";"MW00000";"BU16800900";"2022JJ00";"5.6"
"216163";"53115";"MW00000";"BU16800909";"2022JJ00";
